asset_prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
4616.94,0.00,-0.00,4415.29,-1915.29
4213.45,0.00,-0.00,6432.73,-3932.73
4939.56,0.00,-0.00,2802.20,-302.20
5175.99,879.96,-0.00,1620.04,-0.00
4900.84,0.00,-0.00,2995.79,-495.79
5110.02,550.11,-0.00,1949.89,-0.00
4807.70,0.00,-0.00,3461.48,-961.48
5203.25,1016.26,-0.00,1483.74,-0.00
4449.74,0.00,-0.00,5251.31,-2751.31
4959.68,0.00,-0.00,2701.58,-201.58
5668.93,3344.65,-844.65,0.00,-0.00
5563.48,2817.41,-317.41,0.00,-0.00
4723.51,0.00,-0.00,3882.47,-1382.47
5063.71,318.57,-0.00,2181.43,-0.00
4814.36,0.00,-0.00,3428.22,-928.22
4999.71,0.00,-0.00,2501.44,-1.44
4879.46,0.00,-0.00,3102.72,-602.72
4699.38,0.00,-0.00,4003.09,-1503.09
4397.50,0.00,-0.00,5512.50,-3012.50
5707.93,3539.64,-1039.64,0.00,-0.00
4784.68,0.00,-0.00,3576.62,-1076.62
4548.91,0.00,-0.00,4755.45,-2255.45
5024.79,123.97,-0.00,2376.03,-0.00
4708.88,0.00,-0.00,3955.60,-1455.60
5547.52,2737.62,-237.62,0.00,-0.00
5205.70,1028.50,-0.00,1471.50,-0.00
4953.17,0.00,-0.00,2734.14,-234.14
4727.86,0.00,-0.00,3860.68,-1360.68
4872.99,0.00,-0.00,3135.05,-635.05
5315.12,1575.62,-0.00,924.38,-0.00
5163.15,815.74,-0.00,1684.26,-0.00
5119.83,599.15,-0.00,1900.85,-0.00
4471.59,0.00,-0.00,5142.03,-2642.03
4527.80,0.00,-0.00,4861.00,-2361.00
4930.54,0.00,-0.00,2847.29,-347.29
5603.56,3017.79,-517.79,0.00,-0.00
4828.90,0.00,-0.00,3355.50,-855.50
4789.11,0.00,-0.00,3554.46,-1054.46
4827.39,0.00,-0.00,3363.04,-863.04
4729.74,0.00,-0.00,3851.32,-1351.32
5791.40,3957.02,-1457.02,0.00,-0.00
4725.22,0.00,-0.00,3873.91,-1373.91
4711.08,0.00,-0.00,3944.60,-1444.60
5412.19,2060.95,-0.00,439.05,-0.00
5747.74,3738.71,-1238.71,0.00,-0.00
4880.81,0.00,-0.00,3095.94,-595.94
5462.55,2312.77,-0.00,187.23,-0.00
4363.95,0.00,-0.00,5680.24,-3180.24
4488.60,0.00,-0.00,5056.99,-2556.99
5375.64,1878.19,-0.00,621.81,-0.00
4781.47,0.00,-0.00,3592.66,-1092.66
4899.62,0.00,-0.00,3001.88,-501.88
5535.29,2676.45,-176.45,0.00,-0.00
5210.32,1051.59,-0.00,1448.41,-0.00
4750.13,0.00,-0.00,3749.35,-1249.35
4986.95,0.00,-0.00,2565.26,-65.26
5377.40,1886.98,-0.00,613.02,-0.00
5124.60,623.00,-0.00,1877.00,-0.00
4947.12,0.00,-0.00,2764.39,-264.39
4817.12,0.00,-0.00,3414.39,-914.39
4741.55,0.00,-0.00,3792.27,-1292.27
5580.42,2902.08,-402.08,0.00,-0.00
5148.35,741.74,-0.00,1758.26,-0.00
5026.16,130.78,-0.00,2369.22,-0.00
5331.29,1656.44,-0.00,843.56,-0.00
4763.98,0.00,-0.00,3680.09,-1180.09
4449.51,0.00,-0.00,5252.44,-2752.44
5088.14,440.68,-0.00,2059.32,-0.00
5882.14,4410.70,-1910.70,0.00,-0.00
4672.01,0.00,-0.00,4139.96,-1639.96
4626.42,0.00,-0.00,4367.91,-1867.91
5649.85,3249.23,-749.23,0.00,-0.00
4070.42,0.00,-0.00,7147.90,-4647.90
5429.73,2148.63,-0.00,351.37,-0.00
5170.72,853.59,-0.00,1646.41,-0.00
5662.30,3311.50,-811.50,0.00,-0.00
4445.17,0.00,-0.00,5274.13,-2774.13
5078.14,390.69,-0.00,2109.31,-0.00
4966.09,0.00,-0.00,2669.53,-169.53
5033.70,168.52,-0.00,2331.48,-0.00
4745.96,0.00,-0.00,3770.19,-1270.19
4787.43,0.00,-0.00,3562.87,-1062.87
4549.84,0.00,-0.00,4750.80,-2250.80
4722.16,0.00,-0.00,3889.19,-1389.19
5302.76,1513.80,-0.00,986.20,-0.00
5052.92,264.59,-0.00,2235.41,-0.00
5134.24,671.22,-0.00,1828.78,-0.00
4940.95,0.00,-0.00,2795.23,-295.23
4985.05,0.00,-0.00,2574.76,-74.76
4985.67,0.00,-0.00,2571.65,-71.65
4402.20,0.00,-0.00,5489.01,-2989.01
4810.60,0.00,-0.00,3447.01,-947.01
5054.69,273.45,-0.00,2226.55,-0.00
4943.31,0.00,-0.00,2783.43,-283.43
5333.95,1669.75,-0.00,830.25,-0.00
4711.07,0.00,-0.00,3944.67,-1444.67
6229.23,6146.15,-3646.15,0.00,-0.00
5371.09,1855.43,-0.00,644.57,-0.00
5368.55,1842.74,-0.00,657.26,-0.00
5282.19,1410.93,-0.00,1089.07,-0.00
5104.61,523.05,-0.00,1976.95,-0.00
5441.72,2208.61,-0.00,291.39,-0.00
5418.58,2092.91,-0.00,407.09,-0.00
4486.92,0.00,-0.00,5065.42,-2565.42
4370.48,0.00,-0.00,5647.60,-3147.60
4820.45,0.00,-0.00,3397.75,-897.75
4912.17,0.00,-0.00,2939.16,-439.16
5922.23,4611.14,-2111.14,0.00,-0.00
4539.22,0.00,-0.00,4803.90,-2303.90
5768.80,3844.02,-1344.02,0.00,-0.00
4664.87,0.00,-0.00,4175.65,-1675.65
5665.94,3329.72,-829.72,0.00,-0.00
4725.06,0.00,-0.00,3874.68,-1374.68
4974.97,0.00,-0.00,2625.13,-125.13
5422.98,2114.90,-0.00,385.10,-0.00
5670.95,3354.75,-854.75,0.00,-0.00
5155.46,777.28,-0.00,1722.72,-0.00
5447.79,2238.95,-0.00,261.05,-0.00
4843.38,0.00,-0.00,3283.11,-783.11
4614.97,0.00,-0.00,4425.15,-1925.15
4894.44,0.00,-0.00,3027.80,-527.80
5312.52,1562.60,-0.00,937.40,-0.00
4784.73,0.00,-0.00,3576.35,-1076.35
4851.56,0.00,-0.00,3242.19,-742.19
4602.56,0.00,-0.00,4487.21,-1987.21
4868.35,0.00,-0.00,3158.25,-658.25
5160.10,800.49,-0.00,1699.51,-0.00
4984.01,0.00,-0.00,2579.94,-79.94
5026.08,130.39,-0.00,2369.61,-0.00
5180.26,901.29,-0.00,1598.71,-0.00
5187.79,938.97,-0.00,1561.03,-0.00
4604.99,0.00,-0.00,4475.06,-1975.06
5291.08,1455.41,-0.00,1044.59,-0.00
4947.14,0.00,-0.00,2764.30,-264.30
6151.38,5756.90,-3256.90,0.00,-0.00
4641.77,0.00,-0.00,4291.16,-1791.16
4920.67,0.00,-0.00,2896.63,-396.63
5134.71,673.57,-0.00,1826.43,-0.00
4682.88,0.00,-0.00,4085.62,-1585.62
4731.16,0.00,-0.00,3844.19,-1344.19
4698.77,0.00,-0.00,4006.15,-1506.15
4838.70,0.00,-0.00,3306.50,-806.50
5182.78,913.89,-0.00,1586.11,-0.00
4696.54,0.00,-0.00,4017.30,-1517.30
4941.04,0.00,-0.00,2794.78,-294.78
5529.73,2648.64,-148.64,0.00,-0.00
4789.46,0.00,-0.00,3552.68,-1052.68
5231.76,1158.81,-0.00,1341.19,-0.00
5040.88,204.41,-0.00,2295.59,-0.00
4708.17,0.00,-0.00,3959.15,-1459.15
5228.70,1143.52,-0.00,1356.48,-0.00
4787.87,0.00,-0.00,3560.65,-1060.65
4797.28,0.00,-0.00,3513.62,-1013.62
4915.67,0.00,-0.00,2921.66,-421.66
4559.84,0.00,-0.00,4700.78,-2200.78
4743.64,0.00,-0.00,3781.81,-1281.81
5059.11,295.57,-0.00,2204.43,-0.00
4555.77,0.00,-0.00,4721.14,-2221.14
4663.00,0.00,-0.00,4185.01,-1685.01
5344.66,1723.29,-0.00,776.71,-0.00
4567.59,0.00,-0.00,4662.07,-2162.07
5178.16,890.81,-0.00,1609.19,-0.00
5430.36,2151.81,-0.00,348.19,-0.00
4680.59,0.00,-0.00,4097.05,-1597.05
4627.21,0.00,-0.00,4363.95,-1863.95
5841.18,4205.90,-1705.90,0.00,-0.00
5261.50,1307.48,-0.00,1192.52,-0.00
5378.10,1890.50,-0.00,609.50,-0.00
5048.33,241.67,-0.00,2258.33,-0.00
5152.79,763.93,-0.00,1736.07,-0.00
4797.79,0.00,-0.00,3511.05,-1011.05
5229.95,1149.73,-0.00,1350.27,-0.00
4947.38,0.00,-0.00,2763.11,-263.11
4987.85,0.00,-0.00,2560.76,-60.76
4670.78,0.00,-0.00,4146.10,-1646.10
5198.90,994.50,-0.00,1505.50,-0.00
4866.32,0.00,-0.00,3168.39,-668.39
4605.59,0.00,-0.00,4472.07,-1972.07
5583.10,2915.50,-415.50,0.00,-0.00
5028.19,140.97,-0.00,2359.03,-0.00
5454.37,2271.87,-0.00,228.13,-0.00
4560.84,0.00,-0.00,4695.78,-2195.78
4446.79,0.00,-0.00,5266.06,-2766.06
4803.15,0.00,-0.00,3484.27,-984.27
5204.48,1022.38,-0.00,1477.62,-0.00
4849.23,0.00,-0.00,3253.86,-753.86
4813.48,0.00,-0.00,3432.62,-932.62
4497.81,0.00,-0.00,5010.97,-2510.97
5046.46,232.31,-0.00,2267.69,-0.00
5708.73,3543.65,-1043.65,0.00,-0.00
5207.75,1038.77,-0.00,1461.23,-0.00
